Teacher Name,Room Number,Grade,Group number,Names of students in this group (first and last),Art Workshops 1,Art Workshops 2,Art Workshops 3,Art Workshops 4,Science Workshop 1,Science Workshop 2,Science Workshop 3,Science Workshop 4,Presenter Kids
Ella,103,1,Group 1,"Ariana Weiss, Anna Sullivan, Eva Schwartz, Naomi Thompson, Nova Young",A22,A3 ,A6 ,A16,S1 ,S2 ,S8 ,S25,S20
Amelia,116,K,Group 1,"Alice Davis, Sophia Hill, David Clark, Ella Sanchez, Adam Gupta, Josiah Adams, Nova Kelly, Ruby Weiss, Audrey Gustafsson, Audrey Mitchell",A7 ,A25,A8 ,A14,S6 ,S8 ,S11,S28,A25
Ella,103,1,Group 2,"Eli O'Connor, Connor Green, Connor Lopez, Oliver Walker, Ella King",A7 ,A8 ,A10,A11,S1 ,S4 ,S11,S12,
Ella,103,1,Group 3,"Owen Anderson, Maya Sharma, Penelope Kelly, Bella Scott, Sarah Karlsson",A25,A14,A10,A3 ,S6 ,S15,S16,S21,
Ella,103,1,Group 4,"Naomi Sanchez, Dylan Hill, Aaron Levy, David Lopez, Zoey O'Neill",A25,A19,A11,A7 ,S25,S22,S23,S11,
Gabriel,204,3,Group 1,"Eleanor Davis, Emilia Liu, Ruby Allen, Lucas Green",A1 ,A10,A17,A19,S1 ,S14,S20,S23,
Gabriel,204,3,Group 2,"Ruby Klein, Connor Hall, Owen Holm, Jonathan Goldberg, Joseph Choi",A1 ,A6 ,A10,A14,S1 ,S23,S25,S29,
Gabriel,204,3,Group 3,"Lucas Martinez, Emilia O'Brien, Eva Chen, Naomi Jackson",A5 ,A10,A14,A19,S14,S19,S23,S25,
Gabriel,204,3,Group 4,"Ella Hernandez, Amelia Holm, Hazel Murphy, Sofia Cho, David Levy",A1 ,A8 ,A10,A19,S1 ,S19,S23,S25,S25
Gabriel,204,3,Group 1,"Penelope Torres, Nicholas White, Clara Weiss, Claire Jackson",A1 ,A8 ,A14,A24,S11,S23,S24,S29,
Benjamin,313,2,Group 1,"Bella Murphy, Xavier Anderson, David Adams, Sebastian Moore",A25,A24,A10,A16,S4 ,S24,S3 ,S7 ,
Benjamin,313,2,Group 2,"Luna Sullivan, Gabriel Davis, Aaron Mitchell, Nicholas Campbell",A10,A24,A14,A19,S23,S25,S11,S12,
Benjamin,313,2,Group 3,"Lucas Park, Michael King, Maya Martin, David Weiss",A19,A14,A3 ,A10,S25,S11,S23,S6 ,S11 S1
Benjamin,313,2,Group 4,"Nicholas Cho, Naomi Patel, Michael Garcia, Matthew Holm",A7 ,A8 ,A2 ,A10,S15,S23,S11,S6 ,
Benjamin,313,2,Group 5,"Caleb Lewis, Matthew Hernandez, Nora King, Samuel Zhang, Claire Green",A25,A3 ,A7 ,A16,S25,S23,S4 ,S24,
Elizabeth,107,1,Group 1,"Aiden Martin, Jeremiah Lee, Hazel White, Layla White, Eli Park",A14,A22,A3 ,A10,S8 ,S7 ,S2 ,S18,
Elizabeth,107,1,Group 2,"Joseph Patel, Lucas Wang, Matthew King, Cameron Walsh",A16,A14,A22,A25,S1 ,S8 ,S18,S21,
Elizabeth,107,1,Group 3,"Alice Jackson, Aurora Wu, Claire Holm, Bella Wilson, Mia Gupta, Jacob Lopez",A8 ,A10,A14,A24,S22,S11,S12,S1 ,
Elizabeth,107,1,Group 4,"Dylan Young, Ruby Singh, Anna Choi, Daniel Sharma",A8 ,A10,A25,A14,S8 ,S7 ,S1 ,S12,
Elizabeth,107,1,Group 5,"Emilia Wilson, William Svensson, Zoey Anderson, Chloe Olsson",A24,A25,A3 ,A8 ,S8 ,S6 ,S11,S12,
Chloe,109,1,Group 1,"Julia O'Connor, Claire Kang, Hazel Hernandez, Riley Hill, Rose Ryan",A2 ,A15,A25,A11,S3 ,S4 ,S11,S15,
Chloe,109,1,Group 2,"Ella Lopez, Harper Robinson, Eli Ramirez, Lucas Hill, Aaron Sullivan, Elizabeth Chen",A1 ,A6 ,A19,A16,S4 ,S7 ,S12,S24,
Chloe,109,1,Group 3,"Benjamin Williams, Thomas Singh, Ian Thomas, Matthew Thompson, Sarah Goldberg, Caleb Kelly",A3 ,A7 ,A14,A22,S1 ,S8 ,S18,S23,S7
