Teacher Name,Room Number,Grade,Group number,Names of students in this group (first and last),Art Workshops 1,Art Workshops 2,Art Workshops 3,Art Workshops 4,Science Workshop 1,Science Workshop 2,Science Workshop 3,Science Workshop 4,Presenter Kids
Avery,103,1,Group 1,"Emily Karlsson, Claire Weiss, Samuel Brown, Eva Gonzalez, David Ramirez",A22,A3 ,A6 ,A16,S1 ,S2 ,S8 ,S25,S20
Olivia,116,K,Group 1,"Dominic Carter, Eva Wang, Skylar Sullivan, Aaron Cohen, Mason Mitchell, Eleanor Anderson, Eli Lopez, Alice Nilsson, Julia Sharma, Aaron Gustafsson",A7 ,A25,A8 ,A14,S6 ,S8 ,S11,S28,A25
Avery,103,1,Group 2,"Sarah Wilson, Austin Yang, William Wang, Ryan O'Brien, Wyatt Kim",A7 ,A8 ,A10,A11,S1 ,S4 ,S11,S12,
Avery,103,1,Group 3,"Samuel King, Chloe Johnson, Gabriel Brown, Violet Nelson, Skylar Shah",A25,A14,A10,A3 ,S6 ,S15,S16,S21,
Avery,103,1,Group 4,"Nicholas Svensson, Clara Rosen, Oliver Hill, Eli Lewis, Gabriel Robinson",A25,A19,A11,A7 ,S25,S22,S23,S11,
Lucas,204,3,Group 1,"Riley Lee, Thomas Berg, Henry Sharma, Robert Liu",A1 ,A10,A17,A19,S1 ,S14,S20,S23,
Lucas,204,3,Group 2,"Jeremiah Kang, William Wu, Isabella Allen, Scarlett Wu, Jackson Rodriguez",A1 ,A6 ,A10,A14,S1 ,S23,S25,S29,
Lucas,204,3,Group 3,"Hazel Sanchez, Abigail Ramirez, Isabella Wang, Charlotte Thompson",A5 ,A10,A14,A19,S14,S19,S23,S25,
Lucas,204,3,Group 4,"Matthew Young, Connor Choi, Caleb Scott, Dominic Thomas, Hazel Perez",A1 ,A8 ,A10,A19,S1 ,S19,S23,S25,S25
Lucas,204,3,Group 1,"Matthew Rodriguez, Sofia Thomas, Jeremiah Sullivan, Robert Campbell",A1 ,A8 ,A14,A24,S11,S23,S24,S29,
Gabriel,313,2,Group 1,"Eva Thomas, Eva Byrne, Adrian Singh, Dylan Garcia",A25,A24,A10,A16,S4 ,S24,S3 ,S7 ,
Gabriel,313,2,Group 2,"Avery Martin, Eva Levy, Joseph Kim, Penelope Schwartz",A10,A24,A14,A19,S23,S25,S11,S12,
Gabriel,313,2,Group 3,"Emily Brown, Jeremiah Li, Adam Yang, Kevin Adams",A19,A14,A3 ,A10,S25,S11,S23,S6 ,S11 S1
Gabriel,313,2,Group 4,"Oliver Carter, James O'Connor, Aurora Ryan, Ella Flores",A7 ,A8 ,A2 ,A10,S15,S23,S11,S6 ,
Gabriel,313,2,Group 5,"Xavier Miller, Ariana Rivera, Amelia Rivera, Penelope White, Owen Stern",A25,A3 ,A7 ,A16,S25,S23,S4 ,S24,
Lily,107,1,Group 1,"Dylan Schwartz, Chloe Robinson, Emilia Rosen, Emily Patel, Hannah Brown",A14,A22,A3 ,A10,S8 ,S7 ,S2 ,S18,
Lily,107,1,Group 2,"Dylan Huang, Jeremiah Brown, Ava White, Samuel Garcia",A16,A14,A22,A25,S1 ,S8 ,S18,S21,
Lily,107,1,Group 3,"Harper Rivera, Adrian Singh, Nora Anderson, Dylan Nilsson, Ruby Mitchell, Avery Moore",A8 ,A10,A14,A24,S22,S11,S12,S1 ,
Lily,107,1,Group 4,"Paisley Katz, Dominic Miller, Aiden O'Neill, Ava Byrne",A8 ,A10,A25,A14,S8 ,S7 ,S1 ,S12,
Lily,107,1,Group 5,"Dylan Huang, Josiah Nguyen, Nova Smith, Eli Anderson",A24,A25,A3 ,A8 ,S8 ,S6 ,S11,S12,
Layla,109,1,Group 1,"Naomi Ryan, Jackson Walker, Zoey Smith, Layla O'Connor, Ella O'Brien",A2 ,A15,A25,A11,S3 ,S4 ,S11,S15,
Layla,109,1,Group 2,"Nova Berg, Lucas Li, Audrey Goldberg, Skylar Perez, Scarlett Patel, Ian Walsh",A1 ,A6 ,A19,A16,S4 ,S7 ,S12,S24,
Layla,109,1,Group 3,"Samuel Wu, Adrian Thomas, Mason Li, Dominic Park, Bella Levy, Ian Clark",A3 ,A7 ,A14,A22,S1 ,S8 ,S18,S23,S7
Layla,109,1,Group 4,"Eleanor Yang, Jacob Ryan, Layla Huang, Nova Brown, Robert Roberts",A2 ,A6 ,A11,A16,S12,S1 ,S22,S28,
Owen,207,4,Group 4,"Ariana White, Samuel Larsson, Hazel Rodriguez, Ariana Roberts, Connor Rodriguez",A1 ,A14,A6 ,A10,S11,S10,S24,S29,
Carter,207,4,Group 1,"Eleanor Choi, Emilia Taylor, Charlotte Weiss, Matthew Eriksson, Emily Sharma",A14,A1 ,A4 ,A10,S1 ,S6 ,S23,S25,
Isaac,207,4,Group 2,"James White, Lucy Thompson, Jonathan Svensson",A4 ,A8 ,A14,A17,S5 ,S6 ,S19,S29,
Carter,207,4,Group 5,"Ryan Ryan, David Klein, Connor Kim, Nova Taylor",A10,A19,A14,A3 ,S11,S23,S7 ,S9 ,
Liam,207,4,Group 6,"Josiah Kelly, Oliver Rosen, Audrey Jones, Aurora Friedman",A14,A19,A10,A5 ,S1 ,S10,S11,S23,
Harper,209,4/5,Group 1,"Gabriel Nelson, Caleb Lewis, William Hall, Alice Mitchell, Kevin Nguyen",A10,A14,A15,A19,S5 ,S13,S2 ,S9 ,S13
Chloe,105,1,Group 1,"Kyle Martinez, Wyatt Murphy, Nova Wu, Rose Kim, William Walker, Nova Sharma",A3 ,A1 ,A11,A19,S7 ,S6 ,S8 ,S12,
Chloe,105,1,Group 2,"Ella Clark, Grace Davis, Lucas Cohen, Evelyn Wu, Nicholas Jung",A2 ,A6 ,A16,A25,S4 ,S2 ,S1 ,S15,
Chloe,105,1,Group 3,"Scarlett Kim, Paisley Liu, Theodore Williams, Hannah Walsh, Anna Kumar, Scarlett Holm",A7 ,A8 ,A11,A14,S23,S6 ,S7 ,S25,
Chloe,105,1,Group 4,"Wyatt Martin, Austin Adams, Hannah Moore, Jonathan Levy, Nova Choi",A16,A8 ,A19,A25,S28,S23,S20,S12,
Harper,209,4/5,Group 2,"Joseph Shah, Joseph Sullivan, Alexander Liu, Jackson Green, Daniel Klein, Mia Weiss",A8 ,A1 ,A24,A4 ,S11,S7 ,S21,S9 ,
Harper,209,4/5,Group 3,"Maya Martin, Kevin Clark, Dylan Robinson, Theodore Wright, Benjamin Olsson",A3 ,A13,A17,A8 ,S10,S25,S11,S9 ,
Harper,209,4/5,Group 4,"Charlotte Wang, Penelope Park, Emilia Kang, Samuel Huang, Dominic Johnson, Austin Schwartz",A8 ,A6 ,A5 ,A10,S19,S23,S29,S25,
Oliver,214,4,Group 1,"Isabella O'Brien, Alice Brown, Elizabeth Goldberg, Alexander Martin, Matthew Choi, Robert Cho",A1 ,A10,A3 ,A13,S5 ,S7 ,S7 ,S23,
Oliver,214,4,Group 2,"Mason McCarthy, Zoey Jones, Mia Carter, Hazel Roberts, Hazel Miller",A1 ,A10,A14,A3 ,S5 ,S11,S6 ,S9 ,
Oliver,214,4,Group 3,"Lucy Huang, Harper Thompson, Isaac Holm, Sarah White, Adrian Johnson",A4 ,A14,A10,A17,S5 ,S26,S7 ,S14,S19
Oliver,214,4,Group 4,"Penelope Goldberg, Isabella Nilsson, Elijah Jung, Emilia Perez, Theodore Anderson, James Svensson",A14,A24,A1 ,A10,S1 ,S23,S2 ,S29,
Oliver,214,4,Group 5,"Joseph Lewis, Sofia Klein, Chloe Walsh, Isabella Zhang, Nora Murphy, Gabriel Harris",A2 ,A14,A12,A10,S11,S23,S26,S14,
Owen,207,4,Group 3,"Anna Svensson, James Johnson, Lily Mitchell, Jackson Taylor",A8 ,A4 ,A10,A17,S23,S11,S1 ,S26,
Mia,312,3,Group 1,"William Karlsson, Benjamin Hill, Ava Gupta, Nicholas Singh, Lucas Hill, Harper Cohen",A1 ,A4 ,A10,A13,S5 ,S10,S1 ,S23,S10
Mia,312,3,Group 2,"Aurora Larsson, Victoria McCarthy, Connor Davis, Hannah Moore, Charlotte Williams",A10,A13,A24,A4 ,S29,S24,S19,S7 ,A18
Riley,Room 316,2,Group 1,"Ruby Katz, Ava Wu, Chloe Hall, Eva Choi, Cameron Rodriguez",A7 ,A8 ,A15,A25,S11,S21,S23,S25,
Riley,316,2,Group 2,"Nicholas Hernandez, Jeremiah Chen, Eli Chen, Audrey Gustafsson, Jackson Flores",A11,A14,A25,A16,S1 ,S4 ,S11,S25,
Riley,316,2,Group 3,"Zoey Berg, Kyle Rosen, Ian Perez, Ruby Cohen",A8 ,A11,A20,A22,S1 ,S7 ,S23,S25,
Riley,Room 316,2,Group 4,"Sarah Walsh, Violet Garcia, Gabriel Sullivan, Claire Sullivan",A7 ,A8 ,A20,A25,S6 ,S11,S23,S25,
Riley,316,2,Group 5,"Anna Mitchell, Penelope Perez, Jonathan Rivera, Gabriel Adams",A5 ,A16,A25,A24,S4 ,S7 ,S8 ,S25,
Grace,205,5,Group 1,"Hazel Harris, Ariana White, Gabriel Jackson, Thomas Hall, Penelope Shah",A1 ,A10,A17,A24,S1 ,S7 ,S11,S29,
Alexander,206,4/5,Group 1,"Victoria Nilsson, Ava Hernandez, Abigail Walsh, Sofia Wilson, Thomas Svensson",A4 ,A10,A24,A6 ,S23,S29,S5 ,S11,
Grace,205,5,Group 2,"Eli Park, Henry Goldberg, Eva Huang, Victoria King, Robert Torres, Aiden Johnson",A1 ,A10,A13,A24,S10,S14,S23,S24,S14
Ella,318,2,Group 1,"Clara Rodriguez, Lily Clark, Rose Olsson, Rose Allen",A2 ,A10,A5 ,A16,S2 ,S11,S15,S23,S15 A2
Ella,318,2,Group 2,"Nova Lopez, Michael Brown, Isabella Murphy, Grace Huang, Adrian Wu",A10,A19,A24,A25,S7 ,S21,S23,S25,S15 A24
Grace,205,5,Group 3,"Grace O'Neill, Connor Lee, Naomi Nguyen, Samuel Miller, Lily Eriksson, Kevin Liu",A10,A19,A24,A25,S5 ,S11,S23,S29,
Joseph,206,4/5,Group 2,"Amelia Kang, William Wright, David O'Connor, Gabriel Sharma, Jeremiah Sullivan, Lily Moore",A17,A1 ,A15,A14,S6 ,S29,S5 ,S23,A17 S23
Ella,318,2,Group 3,"Sarah Singh, Alexander Karlsson, Michael Brown, Ariana Wu, Zoey Martin, Wyatt King",A8 ,A10,A19,A25,S4 ,S11,S15,S23,A24
Grace,205,5,Group 4,"Daniel Anderson, Paisley Holm, Josiah Jung, Theodore Eriksson, Lily Martinez",A10,A17,A19,A24,S9 ,S11,S23,S29,
Grace,205,5,Group 5,"Julia Adams, Violet Moore, Nova Williams, Joseph Gustafsson, Adam Anderson, Elijah Campbell",A1 ,A8 ,A10,A17,S6 ,S11,S21,S23,
Joseph,206,4/5,Group 3,"Zoey Jones, Caleb Berg, Ryan Eriksson, Luna Lopez, Ian Brown, Aiden Weiss",A4 ,A12,A24,A8 ,S23,S2 ,S5 ,S25,A12
Ella,318,2,Group 4,"Matthew Gonzalez, Henry Svensson, Lucy Chen, Lucy Lewis, Abigail Choi",A10,A11,A20,A19,S23,S11,S25,S18,S7
Joseph,206,4/5,Group 4,"Skylar King, Avery Schwartz, Robert Jones, Ella Cohen, Caleb Smith, Michael Sanchez",A21,A10,A1 ,A14,S29,S25,S22,S20,A10
Joseph,206,4/5,Group 5,"Dominic McCarthy, Riley Young, Eleanor Williams, Jeremiah Stern, Ava Ramirez, Penelope Schwartz",A10,A14,A1 ,A17,S11,S14,S29,S15,S6
Joseph,206,4/5,Group 6,"Avery Murphy, Lucas Berg, Eva O'Neill, Sofia Levy, Jacob O'Connor, Isaac Green",A10,A5 ,A17,A1 ,S11,S9 ,S1 ,S29,
Luke,314,2,Group 1,"Dominic Hall, Hannah Martin, Robert Wilson, Audrey Mitchell",A8 ,A10,A24,A22,S4 ,S25,S15,S21,
Luke,314,2,Group 2,"Ella Taylor, Hazel O'Brien, Sophia Singh, Cameron Sanchez",A10,A25,A5 ,A24,S11,S25,S23,S24,S24
Luke,314,2,Group 3,"Emily Walsh, Victoria Hernandez, Hazel Thompson, Violet Scott",A25,A24,A10,A3 ,S11,S1 ,S23,S25,S11
Luke,314,2,Group 4,"Benjamin Wilson, Isaac Jackson, Chloe Nguyen, Adrian Nguyen",A10,A25,A14,A7 ,S1 ,S23,S6 ,S21,A14
Luke,314,2,Group 5,"Connor Klein, Avery Johnson, Paisley Davis, Penelope Carter",A14,A16,A25,A24,S11,S23,S28,S25,
Mia,312,3,Group 3,"Sophia Cohen, Emilia Ryan, Lucy Weiss, Wyatt Sanchez, Paisley Rivera",A13,A4 ,A25,A24,S5 ,S9 ,S19,S20,
Mia,312,3,Group 4,"Carter Gupta, Eli Kim, Jonathan Jones, Kyle Perez, Matthew Yang, Nathan Eriksson",A24,A3 ,A13,A14,S19,S29,S15,S11,
Harper,209,4/5,Group 5,"Luna Sharma, Oliver Liu, Dylan Zhang, Nicholas Smith, Dominic Gonzalez",A10,A21,A8 ,A13,S1 ,S11,S29,S23,
Emma,110,K,Group 1,"Violet O'Connor, Ruby Young, Kevin Shah, Joseph Kumar, Emilia Friedman",A8 ,A2 ,A6 ,A22,S11,S22,S7 ,S24,
Emma,110,K,Group 2,"Aurora Thompson, Daniel Cho, Eva Cho, Chloe Walsh, Aurora Lewis",A10,A9 ,A25,A20,S7 ,S4 ,S12,S28,
Emma,110,K,Group 3,"Dylan Olsson, Connor Anderson, Sebastian Perez, Carter Wu, Josiah O'Neill",A22,A20,A7 ,A16,S11,S8 ,S24,S27,S11
Emma,110,K,Group 4,"Mason Jung, Alice Katz, Hazel Moore, Luke Ramirez, Nicholas Williams, Nova Kim",A7 ,A9 ,A11,A15,S11,S28,S25,S15,
Nora,1,K,Group 1,"Robert Wright, Connor Weiss, Anna Huang, Isaac Nilsson",A16,A9 ,A7 ,A8 ,S1 ,S12,S24,S15,S22
Nora,1,K,Group 2,"Evelyn Li, Ariana Cho, Violet Miller, Emilia Chen",A11,A14,A15,A7 ,S4 ,S18,S11,S25,
Nora,1,K,Group 3,"Naomi Sharma, Hannah McCarthy, Austin Rivera, Xavier Lopez",A16,A7 ,A9 ,A15,S3 ,S7 ,S18,S21,
Nora,1,K,Group 4,"Claire Harris, Luke Harris, Ian Jones, Amelia Wilson, Daniel Brown",A3 ,A9 ,A22,A2 ,S8 ,S11,S3 ,S22,
Nora,1,K,Group 5,"Nova Williams, Penelope Anderson, Theodore Flores, Robert Hill",A5 ,A11,A14,A25,S28,S7 ,S2 ,S1 ,
Zoey,5,K,Group 1,"Samuel Hill, Adrian Clark, Charlotte Byrne, Jeremiah Zhang",A7 ,A11,A16,A22,S18,S28,S4 ,S15,
Zoey,5,K,Group 2,"Madison Katz, Lily Patel, Thomas O'Connor, Sebastian Johnson",A11,A7 ,A22,A25,S27,S12,S28,S22,S18
Zoey,5,K,Group 3,"Victoria Flores, Isabella Byrne, Isaac Walker, Claire Klein, Ryan Anderson",A7 ,A11,A2 ,A22,S28,S18,S21,S1 ,
Zoey,5,K,Group 4,"Madison Anderson, Mia Torres, Gabriel Adams, Nova Weiss",A11,A7 ,A6 ,A9 ,S12,S18,S8 ,S24,A15
Zoey,5,K,Group 5,"Isaac Rosen, Ariana Sanchez, Kevin Garcia, Rose Anderson, Lucas Nelson",A11,A7 ,A15,A9 ,S28,S27,S3 ,S18,
Penelope,310,3,Group 1,"Mason Levy, Jeremiah Byrne, Mason Berg, Violet Roberts, Carter Rodriguez",A3 ,A14,A17,A24,S7 ,S13,S28,S25,S13
Penelope,310,3,Group 2,"Naomi Wright, Rose Zhang, Elizabeth Chen, Henry Green, David Scott, Luna Weiss",A8 ,A5 ,A1 ,A14,S1 ,S5 ,S7 ,S11,
Penelope,310,3,Group 3,"Lily Hernandez, Lucas Park, Penelope Choi, Lucy Nilsson, Naomi Hill",A1 ,A10,A12,A14,S1 ,S24,S11,S29,
Penelope,310,3,Group 4,"Matthew Gustafsson, Scarlett Scott, Ella Williams, Luna Hill, Elijah Gustafsson",A1 ,A10,A17,A24,S5 ,S10,S23,S3 ,
Evelyn,203,5,Group 3,"Naomi Nilsson, Hannah Harris, Amelia Green, Scarlett Friedman, Ella Robinson",A8 ,A5 ,A1 ,A24,S23,S1 ,S14,S11,S1
Evelyn,203,5,Group 4,"Adam Larsson, Eva Walker, Mason Zhang, Isabella Scott, Sofia Garcia",A14,A24,A3 ,A10,S11,S23,S1 ,S26,A24
Evelyn,203,5,Group 2,"Cameron Weiss, Elijah Mitchell, Isabella Patel, Adrian Chen",A21,A2 ,A13,A14,S11,S5 ,S23,S1 ,
Evelyn,203,5,Group 1,"Julia Roberts, Xavier Berg, Theodore Allen, Jeremiah Sullivan, Oliver Flores",A24,A4 ,A5 ,A14,S29,S10,S19,S2 ,
Evelyn,203,5,Group 5,"Amelia Holm, Ethan Stern, Kevin Ramirez, Zoey Rosen",A24,A8 ,A5 ,A10,S11,S10,S23,S1 ,
Amelia,3,K,Group 1,"Ethan Hill, Chloe Liu, Audrey Yang, Connor Flores",A2 ,A3 ,A7 ,A6 ,S1 ,S2 ,S3 ,S4 ,
Amelia,3,K,Group 2,"Oliver Hernandez, Madison Torres, Xavier Sharma, Skylar Eriksson, David Karlsson",A3 ,A10,A11,A14,S6 ,S8 ,S15,S21,S11
Amelia,3,K,Group 3,"Matthew Nelson, Evelyn Friedman, Sarah Roberts, Josiah Gustafsson, Clara Nelson",A15,A16,A22,A19,S28,S27,S23,S24,
Amelia,3,K,Group 4,"Carter Perez, Aaron Sullivan, Sebastian Clark, Mason O'Brien",A3 ,A10,A11,A19,S1 ,S12,S8 ,S22,
Sophia,212,3,Group 1,"Naomi Liu, Paisley Flores, Emilia Kumar, Aurora Wright, Amelia Larsson",A8 ,A2 ,A4 ,A25,S11,S25,S29,S23,
Sophia,202,3,Group 2,"Matthew Park, Jonathan Smith, Julia Gustafsson, Alice Taylor, Gabriel O'Brien, Clara Patel",A8 ,A4 ,A14,A19,S11,S19,S5 ,S29,
Sophia,202,3,Group 3,"Eli Jackson, Sophia Roberts, Hazel Wu, Ethan Larsson, Victoria Nilsson",A2 ,A14,A25,A24,S29,S7 ,S6 ,S5 ,
Sophia,202,3,Group 4,"Matthew Baker, Aaron Cohen, Amelia Eriksson, Lucas Anderson, Xavier Rodriguez",A1 ,A6 ,A24,A8 ,S6 ,S7 ,S5 ,S23,
Amelia,3,K,Group 5,"Naomi Baker, Rose O'Connor, Nicholas Katz, Ryan King",A9 ,A16,A25,A10,S24,S11,S4 ,S28,
