Teacher Name,Room Number,Grade,Group number,Names of students in this group (first and last),Art Workshops 1,Art Workshops 2,Art Workshops 3,Art Workshops 4,Science Workshop 1,Science Workshop 2,Science Workshop 3,Science Workshop 4,Presenter Kids
Harper,103,1,Group 1,"Hazel Jones, Eleanor Wilson, Jacob Cohen, Penelope Schwartz, Henry Wang",A22 - Percussion with Teacher Janie Hsiao (K-2),A3 - SFPL: Mini Bookmaking (K-5),A6 - Physical Education by Push Academy (K-5),A16 - The Playspace: Theater Games (K-2),S1 - Soda Geysers (K-5),S2 - Dolphin Project: All About Dolphins (K-5),S8 - Marble Run (K-2),S25 - Potion Making (K-5),S20
William,116,K,Group 1,"Penelope Schwartz, Cameron McCarthy, Samuel Campbell, Oliver Gustafsson, Sophia Kang, Maya Gonzalez, Aiden Huang, Sophia Zhang, Joseph Stern, Aaron Park",A7 - Fire Engine Explore (K-2),A25 - Dumpling Dreams with Joli and Rosella (K-2),A8 - Karate with Zanshin Dojo Martial Arts (K-5),A14 - Make a Whirligig (K-5),S6 - Air Rockets (K-5),S8 - Marble Run (K-2),S11 - Ice Cream Making (K-5),S28 - Tree Frog Treks (K-2),
Harper,103,1,Group 2,"Eva Karlsson, Nora Gonzalez, Skylar Huang, Audrey Larsson, Hannah King",A7 - Fire Engine Explore (K-2),A8 - Karate with Zanshin Dojo Martial Arts (K-5),A10 - Stressed Out Balloons (K-5),A11 - Peace Party! (K-2),S1 - Soda Geysers (K-5),S4 - STEMful: Building a Coral Reef (K-2),S11 - Ice Cream Making (K-5),S12 - Eye-mazing Science: From Light to Sight and Optical Tricks (K-2),
Harper,103,1,Group 3,"Ryan Smith, Joseph Martin, Mia Singh, Ariana Byrne, Audrey Brown",A25 - Dumpling Dreams with Teachers Joli and Rosella (K-2),A14 - Make a Whirligig (K-5),A10 - Stressed Out Balloons (K-5),A3 - SFPL: Mini Bookmaking (K-5),S6 - Air Rockets (K-5),S15 - Toy Car Launcher and String Telephone (K-5),S16 - Rabbit Zone (K-2),S21 - Physics of Soccer by Beach Chalet Soccer (K-5),
Harper,103,1,Group 4,"Carter Nguyen, Isabella Young, Gabriel Mitchell, Clara Rodriguez, Elijah Lewis",A25 - Dumpling Dreams with Teachers Joli and Rosella (K-2),A19 - Taiko (K-5),A11 - Peace Party! (K-2),A7 - Fire Engine Explore (K-2),S25 - Potion Making (K-5),S22 - Wild Wacky Animal Names with The Screaming Hairy Armadillo (K-5),S23 - Magnetic Slime (K-5),S11 - Ice Cream Making (K-5),
Jack,204,3,Group 1,"Violet Holm, Adrian Kang, Evelyn Singh, Sophia Gupta",A1 - Optical Illusions with Teacher Ben & Saya (3-5),A10 - Stressed Out Balloons (K-5),A17 - The Playspace: Theater Games (3-5),A19 - Taiko (K-5),S1 - Soda Geysers (K-5),S14 - Magnetic Magic (3-5),S20 - Exploring the Microscopic World (K-5),S23 - Magnetic Slime (K-5),
Jack,204,3,Group 2,"Mia Jung, Skylar Clark, Luna Mitchell, Hannah Gonzalez, Isabella Brown",A1 - Optical Illusions with Teacher Ben & Saya (3-5),A6 - Physical Education by Push Academy (K-5),A10 - Stressed Out Balloons (K-5),A14 - Make a Whirligig (K-5),S1 - Soda Geysers (K-5),S23 - Magnetic Slime (K-5),S25 - Potion Making (K-5),S29 - Tree Frog Treks (3-5),
Jack,204,3,Group 3,"Ruby Lee, Scarlett Anderson, Thomas Hall, Ian Sullivan",A5 - Chess Challenge! by Academic Chess (K-5),A10 - Stressed Out Balloons (K-5),A14 - Make a Whirligig (K-5),A19 - Taiko (K-5),S14 - Magnetic Magic (3-5),S19 - Baking Soda Experiences: From Fizz to Flying (3-5),S23 - Magnetic Slime (K-5),S25 - Potion Making (K-5),
Jack,204,3,Group 4,"Grace Taylor, Claire McCarthy, Amelia Jones, Eva O'Brien, Isaac Hall",A1 - Optical Illusions with Teacher Ben & Saya (3-5),A8 - Karate with Zanshin Dojo Martial Arts (K-5),A10 - Stressed Out Balloons (K-5),A19 - Taiko (K-5),S1 - Soda Geysers (K-5),S19 - Baking Soda Experiences: From Fizz to Flying (3-5),S23 - Magnetic Slime (K-5),S25 - Potion Making (K-5),S25
Jack,204,3,Group 1,"Josiah Smith, Benjamin Goldberg, Maya Friedman, Zoey Karlsson",A1 - Optical Illusions with Teacher Ben & Saya (3-5),A8 - Karate with Zanshin Dojo Martial Arts (K-5),A14 - Make a Whirligig (K-5),A24 - Balloon-ology 101 (2-5),S11 - Ice Cream Making (K-5),S23 - Magnetic Slime (K-5),S24 - Glow Party! (K-3),S29 - Tree Frog Treks (3-5),
