Teacher Name,Room Number,Grade,Group number,Names of students in this group (first and last),Art Workshops 1,Art Workshops 2,Art Workshops 3,Art Workshops 4,Science Workshop 1,Science Workshop 2,Science Workshop 3,Science Workshop 4,Presenter Kids
Luke,209,4/5,Group 1,"Joseph Li, Riley Karlsson, Sophia Katz, Clara Berg, Ian Perez",A15,A23,A3 ,A12,S21,S17,S25,S13,
Luke,209,4/5,Group 2,"Hannah Martin, Jackson Patel, Alice Eriksson, Isabella Lopez, Sofia Flores",A20,A13,A1 ,A15,S17,S21,S10,S13,
Luke,209,4/5,Group 3,"Penelope Lee, Harper Baker, Adam Katz, Abigail Nguyen, Alexander Nilsson",A6 ,A12,A15,A20,S21,S7 ,S13,S10,
Luke,209,4/5,Group 4,"Lucy Gonzalez, Abigail Hall, Nora Brown, Adrian Huang, Emily Flores",A15,A23,A12,A6 ,S21,S15,S13,S7 ,
Luke,209,4/5,Group 5,"Adam Sanchez, Theodore Kumar, Julia Wilson, Henry Svensson, Austin Jones",A20,A14,A15,A12,S17,S25,S1 ,S21,
Alexander,205,5,Group 1,"Elijah Baker, Nicholas Karlsson, Kevin Rosen, Chloe Lopez, Jacob O'Connor, Aaron Rosen",A5 ,A22,A18,A15,S7 ,S9 ,S17,S21,A15 S21 S17
Alexander,205,5,Group 2,"Alexander Nelson, Adrian Choi, Connor O'Connor, Amelia Choi, Hannah Zhang",A18,A15,A20,A21,S1 ,S17,S21,S25,
Alexander,205,5,Group 3,"Aiden Eriksson, Caleb Stern, Daniel Lee, Luna Anderson, Julia Perez, Lucy Hill",A9 ,A14,A20,A22,S1 ,S10,S21,S25,
Alexander,205,5,Group 4,"Thomas Jones, Rose Patel, Victoria Eriksson, Nathan Miller, Oliver Liu, Benjamin Garcia",A1 ,A12,A15,A22,S7 ,S13,S17,S21,
Alexander,205,5,Group 5,"Benjamin Wang, Carter Schwartz, Theodore Lee, Avery Ramirez, Claire Walker",A14,A15,A21,A9 ,S7 ,S1 ,S10,S22,
Layla,116,1,Group 1,"Paisley Hill, James Yang, Nicholas Hernandez, Alice Young, Luna Williams, Charlotte Levy, Paisley Wright, Harper Gustafsson, Isaac Carter, Isabella Larsson, Kevin Ramirez, Dylan Schwartz, Eli O'Brien",A10,A20,A4 ,A22,S12,S20,S1 ,S7 ,A10
Nora,105,1,Group 1,"Wyatt Hall, Charlotte Garcia, Naomi Sharma, Madison Allen, Riley Stern",A20,A16,A19,A11,S3 ,S20,S19,S11,
William,105,1,Group 2,"Theodore Thomas, Mia Wilson, Luna Campbell, Austin Nilsson, Sarah O'Neill",A22,A11,A2 ,A4 ,S7 ,S16,S26,S14,
Nora,105,1,Group 3,"Alice Green, Xavier Berg, Chloe Flores, Dylan Brown, Carter Singh, Eleanor Gonzalez",A10,A14,A7 ,A22,S2 ,S12,S23,S16,
Nora,105,1,Group 4,"Alice O'Connor, Bella Williams, Ella Johnson, Abigail Allen, Gabriel Cho, Lily Berg",A17,A11,A20,A2 ,S11,S25,S4 ,S23,
Isaac,314,2,Group 1,"Nora Svensson, Alice Martin, Xavier Jackson, Skylar O'Connor",A10,A20,A4 ,A14,S20,S7 ,S16,S22,
Isaac,314,2,Group 2,"Matthew Kelly, Jonathan Lee, Josiah Davis, Dominic Miller",A10,A2 ,A9 ,A4 ,S16,S20,S7 ,S22,
Isaac,314,2,Group 3,"Theodore Davis, Riley White, Mason Kim, Kyle Huang, Avery Murphy",A19,A10,A16,A20,S7 ,S25,S22,S23,A19
Isaac,314,2,Group 4,"Elijah Walker, Ariana Smith, Isaac King, Alice Johnson",A10,A20,A9 ,A14,S19,S25,S7 ,S3 ,
Isaac,314,2,Group 5,"Nora Anderson, Gabriel Green, Riley Levy, Sebastian Moore",A10,A7 ,A4 ,A17,S1 ,S7 ,S25,S20,
